City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Hilo,Estados Unidos,1128.0,1644.71,Delta,ITO,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-ITO/2023-06-01/2023-06-05/
Ushuaia,Argentina,2095.0,1449.22,Várias companhias aéreas,USH,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-USH/2023-06-01/2023-06-08/
Baltra,Equador,2690.0,1242.46,Várias companhias aéreas,GPS,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-GPS/2023-06-03/2023-06-10/
Sørvágur,Ilhas Faroe,825.0,939.83,Várias companhias aéreas,FAE,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-FAE/2023-06-01/2023-06-05/
Lomé,Togo,1250.0,1173.85,Air France,LFW,2023-06-02,2023-06-09,http://kayak.com/flights/EWR-LFW/2023-06-02/2023-06-09/
Palanga,Lituânia,1240.0,964.27,airBaltic,PLQ,2023-06-13,2023-06-19,http://kayak.com/flights/EWR-PLQ/2023-06-13/2023-06-19/
Molde,Noruega,1290.0,1042.28,Scandinavian Airlines,MOL,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-MOL/2023-06-08/2023-06-15/
Erfurt,Alemanha,2555.0,1749.97,Várias companhias aéreas,ERF,2023-06-11,2023-06-16,http://kayak.com/flights/EWR-ERF/2023-06-11/2023-06-16/
Ålesund,Noruega,1105.0,2084.55,Lufthansa,AES,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-AES/2023-06-08/2023-06-15/
Fort Saint John,Canadá,918.0,741.53,Delta,YXJ,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-YXJ/2023-06-01/2023-06-05/
Butte,Estados Unidos,780.0,871.23,Delta,BTM,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-BTM/2023-06-08/2023-06-15/
West Yellowstone,Estados Unidos,1334.0,614.65,United Airlines,WYS,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-WYS/2023-06-10/2023-06-17/
Cedar City,Estados Unidos,542.0,847.73,Delta,CDC,2023-06-23,2023-06-30,http://kayak.com/flights/EWR-CDC/2023-06-23/2023-06-30/
Waterloo,Estados Unidos,664.0,506.57,American Airlines,ALO,2023-06-08,2023-06-13,http://kayak.com/flights/EWR-ALO/2023-06-08/2023-06-13/
Moab,Estados Unidos,682.0,1239.64,United Airlines,CNY,2023-06-22,2023-06-29,http://kayak.com/flights/EWR-CNY/2023-06-22/2023-06-29/
Telluride,Estados Unidos,1113.0,1041.34,Várias companhias aéreas,TEX,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-TEX/2023-06-08/2023-06-12/
Joplin,Estados Unidos,1115.0,523.49,United Airlines,JLN,2023-06-01,2023-06-07,http://kayak.com/flights/EWR-JLN/2023-06-01/2023-06-07/
Cody,Estados Unidos,616.0,883.45,United Airlines,COD,2023-06-17,2023-06-24,http://kayak.com/flights/EWR-COD/2023-06-17/2023-06-24/
Stillwater,Estados Unidos,1229.0,562.96,American Airlines,SWO,2023-06-18,2023-06-22,http://kayak.com/flights/EWR-SWO/2023-06-18/2023-06-22/
Loreto,México,3128.0,1826.09,American Airlines,LTO,2023-06-06,2023-06-12,http://kayak.com/flights/EWR-LTO/2023-06-06/2023-06-12/
Sheridan,Estados Unidos,601.0,789.46,United Airlines,SHR,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-SHR/2023-06-14/2023-06-18/
Harrison,Estados Unidos,793.0,593.98,Várias companhias aéreas,HRO,2023-06-12,2023-06-16,http://kayak.com/flights/EWR-HRO/2023-06-12/2023-06-16/
San Bernardino,Estados Unidos,1153.0,538.53,Várias companhias aéreas,SBD,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-SBD/2023-06-02/2023-06-06/
Laramie,Estados Unidos,825.0,473.68,United Airlines,LAR,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-LAR/2023-06-14/2023-06-18/
The Valley,Anguila,866.0,644.73,Várias companhias aéreas,AXA,2023-06-02,2023-06-08,http://kayak.com/flights/EWR-AXA/2023-06-02/2023-06-08/
Gustávia,São Bartolomeu,1512.0,1205.81,Várias companhias aéreas,SBH,2023-06-02,2023-06-06,http://kayak.com/flights/EWR-SBH/2023-06-02/2023-06-06/
Vieques,Porto Rico,567.0,710.52,United Airlines,VQS,2023-06-18,2023-06-25,http://kayak.com/flights/EWR-VQS/2023-06-18/2023-06-25/
Cayman Brac,Ilhas Cayman,1705.0,900.36,Várias companhias aéreas,CYB,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-CYB/2023-06-15/2023-06-19/
Brunswick,Estados Unidos,300.0,440.79,Delta,BQK,2023-06-10,2023-06-14,http://kayak.com/flights/EWR-BQK/2023-06-10/2023-06-14/
Grand-Case,São Martinho (Saint-Martin),1477.0,863.71,Várias companhias aéreas,SFG,2023-06-17,2023-06-21,http://kayak.com/flights/EWR-SFG/2023-06-17/2023-06-21/
Valdosta,Estados Unidos,370.0,436.09,Delta,VLD,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-VLD/2023-06-20/2023-06-27/
Florença,Estados Unidos,340.0,271.62,American Airlines,FLO,2023-06-01,2023-06-06,http://kayak.com/flights/EWR-FLO/2023-06-01/2023-06-06/
Hyannis Port,Estados Unidos,600.0,522.55,Várias companhias aéreas,HYA,2023-06-11,2023-06-18,http://kayak.com/flights/EWR-HYA/2023-06-11/2023-06-18/
Little Cayman,Ilhas Cayman,1600.0,952.99,Várias companhias aéreas,LYB,2023-06-24,2023-06-28,http://kayak.com/flights/EWR-LYB/2023-06-24/2023-06-28/
Mayagüez,Porto Rico,1207.0,518.79,Várias companhias aéreas,MAZ,2023-06-21,2023-06-26,http://kayak.com/flights/EWR-MAZ/2023-06-21/2023-06-26/
Port Royal,Bahamas,1200.0,601.5,United Airlines,BIM,2023-06-09,2023-06-16,http://kayak.com/flights/EWR-BIM/2023-06-09/2023-06-16/
Rockland,Estados Unidos,370.0,596.8,JetBlue,RKD,2023-06-08,2023-06-12,http://kayak.com/flights/EWR-RKD/2023-06-08/2023-06-12/
Kapalua,Estados Unidos,1718.0,1188.89,Várias companhias aéreas,JHM,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-JHM/2023-06-08/2023-06-15/
San Cristobal,Equador,2812.0,1181.37,Várias companhias aéreas,SCY,2023-06-03,2023-06-10,http://kayak.com/flights/EWR-SCY/2023-06-03/2023-06-10/
El Calafate,Argentina,2907.0,1778.16,Várias companhias aéreas,FTE,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-FTE/2023-06-10/2023-06-17/
Escanaba,Estados Unidos,458.0,573.3,Delta,ESC,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-ESC/2023-06-15/2023-06-19/
Nuuk,Gronelândia,2097.0,1604.29,Icelandair,GOH,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-GOH/2023-06-08/2023-06-15/
Iron Mountain,Estados Unidos,270.0,521.61,Delta,IMT,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-IMT/2023-06-15/2023-06-19/
Marquette,Estados Unidos,775.0,620.29,American Airlines,MQT,2023-06-15,2023-06-19,http://kayak.com/flights/EWR-MQT/2023-06-15/2023-06-19/
Gander,Canadá,497.0,736.83,Air Canada,YQX,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-YQX/2023-06-01/2023-06-08/
Knock,Irlanda,1962.0,1110.88,Várias companhias aéreas,NOC,2023-06-16,2023-06-23,http://kayak.com/flights/EWR-NOC/2023-06-16/2023-06-23/
Karpathos,Grécia,1690.0,3829.81,Várias companhias aéreas,AOK,2023-06-15,2023-06-22,http://kayak.com/flights/EWR-AOK/2023-06-15/2023-06-22/
Perugia,Itália,1410.0,1809.18,Várias companhias aéreas,PEG,2023-06-14,2023-06-18,http://kayak.com/flights/EWR-PEG/2023-06-14/2023-06-18/
Carcassonne,França,1865.0,1437.94,Várias companhias aéreas,CCF,2023-06-22,2023-06-27,http://kayak.com/flights/EWR-CCF/2023-06-22/2023-06-27/
Paleochori,Grécia,1130.0,1833.61,Várias companhias aéreas,MLO,2023-06-18,2023-06-24,http://kayak.com/flights/EWR-MLO/2023-06-18/2023-06-24/
Osaka,Japão,2170.0,1286.63,ANA,ITM,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-ITM/2023-06-05/2023-06-12/
Pequim,China,2310.0,1252.8,Várias companhias aéreas,PKX,2023-06-07,2023-06-13,http://kayak.com/flights/EWR-PKX/2023-06-07/2023-06-13/
Rayong,Tailândia,2620.0,1646.59,Emirates,UTP,2023-06-06,2023-06-13,http://kayak.com/flights/EWR-UTP/2023-06-06/2023-06-13/
Ilha do Pico,Portugal,2860.0,2082.67,TAP AIR PORTUGAL,PIX,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-PIX/2023-06-10/2023-06-17/
Horta,Portugal,3305.0,2093.95,TAP AIR PORTUGAL,HOR,2023-06-10,2023-06-17,http://kayak.com/flights/EWR-HOR/2023-06-10/2023-06-17/
Nagua,República Dominicana,1052.0,1103.37,Air Canada,AZS,2023-06-08,2023-06-15,http://kayak.com/flights/EWR-AZS/2023-06-08/2023-06-15/
Virgin Gorda,Ilhas Virgens Britânicas,1121.0,1427.61,Várias companhias aéreas,VIJ,2023-06-01,2023-06-08,http://kayak.com/flights/EWR-VIJ/2023-06-01/2023-06-08/
Hoolehua,Estados Unidos,1241.0,1474.6,Várias companhias aéreas,MKK,2023-06-24,2023-06-30,http://kayak.com/flights/EWR-MKK/2023-06-24/2023-06-30/
Waimea (Kamuela),Estados Unidos,1545.0,1288.51,Várias companhias aéreas,MUE,2023-06-15,2023-06-22,http://kayak.com/flights/EWR-MUE/2023-06-15/2023-06-22/
Blantyre,Malaui,2165.0,1711.44,Várias companhias aéreas,BLZ,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-BLZ/2023-06-20/2023-06-27/
Lubumbashi,República Democrática do Congo,2050.0,1628.73,Ethiopian Air,FBM,2023-06-01,2023-06-05,http://kayak.com/flights/EWR-FBM/2023-06-01/2023-06-05/
Aqaba,Jordânia,2378.0,3990.52,American Airlines,AQJ,2023-06-13,2023-06-20,http://kayak.com/flights/EWR-AQJ/2023-06-13/2023-06-20/
Melbourne,Austrália,1828.0,2452.02,Qantas Airways,AVV,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-AVV/2023-06-20/2023-06-27/
Kobe,Japão,1385.0,1493.39,ANA,UKB,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-UKB/2023-06-05/2023-06-12/
Sendai,Japão,1340.0,2114.62,ANA,SDJ,2023-06-23,2023-06-29,http://kayak.com/flights/EWR-SDJ/2023-06-23/2023-06-29/
Savusavu,Fiji,1945.0,7160.57,Várias companhias aéreas,SVU,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-SVU/2023-06-05/2023-06-12/
Suva,Fiji,2611.0,7026.17,Várias companhias aéreas,SUV,2023-06-05,2023-06-12,http://kayak.com/flights/EWR-SUV/2023-06-05/2023-06-12/
Haiphong,Vietname,2235.0,7585.37,Várias companhias aéreas,HPH,2023-06-09,2023-06-15,http://kayak.com/flights/EWR-HPH/2023-06-09/2023-06-15/
