City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Providenciales,Ilhas Turcas e Caicos,1115.0,767.85,American Airlines,PLS,2023-06-20,2023-06-25,http://kayak.com/flights/DEN-PLS/2023-06-20/2023-06-25/,767.85,1.0
Redmond,Estados Unidos,1151.0,413.53,Alaska Airlines,RDM,2023-06-12,2023-06-16,http://kayak.com/flights/DEN-RDM/2023-06-12/2023-06-16/,413.53,1.0
Greensboro,Estados Unidos,387.0,446.42,American Airlines,GSO,2023-06-03,2023-06-10,http://kayak.com/flights/DEN-GSO/2023-06-03/2023-06-10/,446.42,1.0
Simpson Bay,São Martinho (Sint Maarten),1307.0,1024.42,American Airlines,SXM,2023-06-14,2023-06-19,http://kayak.com/flights/DEN-SXM/2023-06-14/2023-06-19/,1024.42,1.0
Colorado Springs,Estados Unidos,55.0,333.64,United Airlines,COS,2023-06-01,2023-06-08,http://kayak.com/flights/DEN-COS/2023-06-01/2023-06-08/,333.64,1.0
White Plains,Estados Unidos,518.0,615.59,American Airlines,HPN,2023-06-22,2023-06-28,http://kayak.com/flights/DEN-HPN/2023-06-22/2023-06-28/,615.59,1.0
Little Rock,Estados Unidos,149.0,862.77,United Airlines,LIT,2023-06-25,2023-06-30,http://kayak.com/flights/DEN-LIT/2023-06-25/2023-06-30/,862.77,1.0
Kalispell,Estados Unidos,284.0,375.0,Delta,FCA,2023-06-09,2023-06-15,http://kayak.com/flights/DEN-FCA/2023-06-09/2023-06-15/,375.0,1.0
Panama City,Estados Unidos,910.0,584.58,United Airlines,ECP,2023-06-01,2023-06-05,http://kayak.com/flights/DEN-ECP/2023-06-01/2023-06-05/,584.58,1.0
Medford,Estados Unidos,429.0,335.52,United Airlines,MFR,2023-06-22,2023-06-27,http://kayak.com/flights/DEN-MFR/2023-06-22/2023-06-27/,335.52,1.0
Missoula,Estados Unidos,1012.0,702.06,United Airlines,MSO,2023-06-19,2023-06-23,http://kayak.com/flights/DEN-MSO/2023-06-19/2023-06-23/,702.06,1.0
Fayetteville,Estados Unidos,124.0,364.66,United Airlines,XNA,2023-06-13,2023-06-17,http://kayak.com/flights/DEN-XNA/2023-06-13/2023-06-17/,364.66,1.0
Aguadilla,Porto Rico,1123.0,768.79,Frontier,BQN,2023-06-08,2023-06-12,http://kayak.com/flights/DEN-BQN/2023-06-08/2023-06-12/,768.79,1.0
Porto Plata,República Dominicana,1196.0,571.42,American Airlines,POP,2023-06-17,2023-06-24,http://kayak.com/flights/DEN-POP/2023-06-17/2023-06-24/,571.42,1.0
Dayton,Estados Unidos,395.0,440.79,Delta,DAY,2023-06-07,2023-06-13,http://kayak.com/flights/DEN-DAY/2023-06-07/2023-06-13/,440.79,1.0
Harrisburg,Estados Unidos,1864.0,481.2,Várias companhias aéreas,MDT,2023-06-07,2023-06-14,http://kayak.com/flights/DEN-MDT/2023-06-07/2023-06-14/,481.2,1.0
Vigo,Espanha,1915.0,1600.54,Iberia,VGO,2023-06-21,2023-06-26,http://kayak.com/flights/DEN-VGO/2023-06-21/2023-06-26/,1600.54,1.0
