City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Dallas,Estados Unidos,1045.0,717.1,American Airlines,DFW,2023-05-07,2023-05-13,http://kayak.com/flights/OPO-DFW/2023-05-07/2023-05-13/,717.1,1.0
Dubai,Emirados Árabes Unidos,1690.0,389.09,Várias companhias aéreas,DXB,2023-06-09,2023-06-14,http://kayak.com/flights/OPO-DXB/2023-06-09/2023-06-14/,389.09,1.0
Bogotá,Colômbia,1980.0,899.42,Aeromexico,BOG,2023-04-02,2023-04-09,http://kayak.com/flights/OPO-BOG/2023-04-02/2023-04-09/,899.42,1.0
Denver,Estados Unidos,870.0,692.66,British Airways,DEN,2023-10-21,2023-10-26,http://kayak.com/flights/OPO-DEN/2023-10-21/2023-10-26/,692.66,1.0
Cidade do México,México,2000.0,991.53,Aeromexico,MEX,2023-08-11,2023-08-18,http://kayak.com/flights/OPO-MEX/2023-08-11/2023-08-18/,991.53,1.0
Cancún,México,1385.0,601.5,TAP AIR PORTUGAL,CUN,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-CUN/2023-06-14/2023-06-21/,601.5,1.0
Atenas,Grécia,1330.0,312.03,Brussels Airlines,ATH,2023-06-16,2023-06-21,http://kayak.com/flights/OPO-ATH/2023-06-16/2023-06-21/,312.03,1.0
Chicago,Estados Unidos,1148.0,740.59,KLM,ORD,2023-05-17,2023-05-21,http://kayak.com/flights/OPO-ORD/2023-05-17/2023-05-21/,740.59,1.0
Zurique,Suíça,1025.0,174.81,Várias companhias aéreas,ZRH,2023-04-12,2023-04-18,http://kayak.com/flights/OPO-ZRH/2023-04-12/2023-04-18/,174.81,1.0
Orlando,Estados Unidos,1015.0,546.05,Lufthansa,MCO,2023-09-05,2023-09-11,http://kayak.com/flights/OPO-MCO/2023-09-05/2023-09-11/,546.05,1.0
Milão,Itália,690.0,83.65,Ryanair,MIL,2023-03-28,2023-04-04,http://kayak.com/flights/OPO-MIL/2023-03-28/2023-04-04/,83.65,1.0
