City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Duala,Camarões,1965,1738.69,Ethiopian Air,DLA,2023-08-27,2023-09-03,http://kayak.com/flights/EWR-DLA/2023-08-27/2023-09-03/,1738.69,1
San Carlos DeBariloche,Argentina,2215,1751.85,Várias companhias aéreas,BRC,2023-08-03,2023-08-07,http://kayak.com/flights/EWR-BRC/2023-08-03/2023-08-07/,1751.85,1
Krabi,Tailândia,2640,1811.06,Várias companhias aéreas,KBV,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-KBV/2023-04-10/2023-04-17/,1811.06,1
Perth,Austrália,2787,2356.16,Air New Zealand,PER,2023-04-10,2023-04-17,http://kayak.com/flights/EWR-PER/2023-04-10/2023-04-17/,2356.16,1
Agadir,Marrocos,1790,1927.6,Várias companhias aéreas,AGA,2023-04-11,2023-04-18,http://kayak.com/flights/EWR-AGA/2023-04-11/2023-04-18/,1927.6,1
Chetumal,México,1463,1711.44,Aeromexico,CTM,2023-05-14,2023-05-20,http://kayak.com/flights/EWR-CTM/2023-05-14/2023-05-20/,1711.44,1
Praya,Indonésia,3005,1723.65,Várias companhias aéreas,LOP,2023-05-07,2023-05-14,http://kayak.com/flights/EWR-LOP/2023-05-07/2023-05-14/,1723.65,1
Bucara,Uzbequistão,2850,1689.82,Várias companhias aéreas,BHK,2023-05-06,2023-05-13,http://kayak.com/flights/EWR-BHK/2023-05-06/2023-05-13/,1689.82,1
Navegantes,Brasil,2758,1832.67,Várias companhias aéreas,NVT,2023-03-25,2023-04-01,http://kayak.com/flights/EWR-NVT/2023-03-25/2023-04-01/,1832.67,1
Koh Samui,Tailândia,2385,1948.27,Várias companhias aéreas,USM,2023-04-12,2023-04-17,http://kayak.com/flights/EWR-USM/2023-04-12/2023-04-17/,1948.27,1
Saga,Japão,2275,1724.59,ANA,HSG,2023-04-24,2023-04-30,http://kayak.com/flights/EWR-HSG/2023-04-24/2023-04-30/,1724.59,1
Blantyre,Malaui,2165,1711.44,Várias companhias aéreas,BLZ,2023-06-20,2023-06-27,http://kayak.com/flights/EWR-BLZ/2023-06-20/2023-06-27/,1711.44,1
Hana,Estados Unidos,1466,1743.39,Várias companhias aéreas,HNM,2023-04-09,2023-04-16,http://kayak.com/flights/EWR-HNM/2023-04-09/2023-04-16/,1743.39,1
Erfurt,Alemanha,2555,1749.97,Várias companhias aéreas,ERF,2023-06-11,2023-06-16,http://kayak.com/flights/EWR-ERF/2023-06-11/2023-06-16/,1749.97,1
Cataratas Vitória,Zimbábue,2195,1817.64,Várias companhias aéreas,VFA,2023-04-27,2023-05-03,http://kayak.com/flights/EWR-VFA/2023-04-27/2023-05-03/,1817.64,1
Parthéni,Grécia,1030,1733.05,Várias companhias aéreas,LRS,2023-07-04,2023-07-11,http://kayak.com/flights/EWR-LRS/2023-07-04/2023-07-11/,1733.05,1
Indore,Índia,1960,1784.74,Várias companhias aéreas,IDR,2023-03-14,2023-03-21,http://kayak.com/flights/EWR-IDR/2023-03-14/2023-03-21/,1784.74,1
El Calafate,Argentina,2750,1780.98,Várias companhias aéreas,FTE,2023-03-17,2023-03-24,http://kayak.com/flights/EWR-FTE/2023-03-17/2023-03-24/,1780.98,1
